HSCode,Commodity,value,country,year
74,COPPER AND ARTICLES THEREOF.,0.75,BULGARIA,2017
74,COPPER AND ARTICLES THEREOF.,0,CAMBODIA,2017
74,COPPER AND ARTICLES THEREOF.,8.25,CANADA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",329.86,CANADA,2017
74,COPPER AND ARTICLES THEREOF.,0.9,CAPE VERDE IS,2017
74,COPPER AND ARTICLES THEREOF.,4.31,CHILE,2017
74,COPPER AND ARTICLES THEREOF.,220.72,CHINA P RP,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",7.67,CHINA P RP,2017
74,COPPER AND ARTICLES THEREOF.,0.15,COMOROS,2017
74,COPPER AND ARTICLES THEREOF.,1.14,CONGO D. REP.,2017
74,COPPER AND ARTICLES THEREOF.,53.64,CONGO P REP,2017
74,COPPER AND ARTICLES THEREOF.,0.19,COSTA RICA,2017
74,COPPER AND ARTICLES THEREOF.,0.82,COTE D' IVOIRE,2017
74,COPPER AND ARTICLES THEREOF.,0.03,CROATIA,2017
74,COPPER AND ARTICLES THEREOF.,1.73,CYPRUS,2017
74,COPPER AND ARTICLES THEREOF.,4.34,CZECH REPUBLIC,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.48,CZECH REPUBLIC,2017
74,COPPER AND ARTICLES THEREOF.,9.45,DENMARK,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.33,DENMARK,2017
74,COPPER AND ARTICLES THEREOF.,0.29,DJIBOUTI,2017
74,COPPER AND ARTICLES THEREOF.,2.81,EGYPT A RP,2017
74,COPPER AND ARTICLES THEREOF.,0.9,ESTONIA,2017
74,COPPER AND ARTICLES THEREOF.,0.12,ETHIOPIA,2017
74,COPPER AND ARTICLES THEREOF.,8,FINLAND,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1.21,FINLAND,2017
74,COPPER AND ARTICLES THEREOF.,25.95,FRANCE,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",3297.8,FRANCE,2017
74,COPPER AND ARTICLES THEREOF.,0.23,GABON,2017
74,COPPER AND ARTICLES THEREOF.,0.02,GAMBIA,2017
74,COPPER AND ARTICLES THEREOF.,3.92,GEORGIA,2017
74,COPPER AND ARTICLES THEREOF.,132.58,GERMANY,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",312.37,GERMANY,2017
74,COPPER AND ARTICLES THEREOF.,3.99,GHANA,2017
74,COPPER AND ARTICLES THEREOF.,3.51,GREECE,2017
74,COPPER AND ARTICLES THEREOF.,0.03,GRENADA,2017
74,COPPER AND ARTICLES THEREOF.,0.87,GUINEA,2017
74,COPPER AND ARTICLES THEREOF.,4.37,HONG KONG,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",3.01,HONG KONG,2017
74,COPPER AND ARTICLES THEREOF.,2.75,HUNGARY,2017
74,COPPER AND ARTICLES THEREOF.,181.69,INDONESIA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.21,INDONESIA,2017
74,COPPER AND ARTICLES THEREOF.,0.13,IRAN,2017
74,COPPER AND ARTICLES THEREOF.,0.02,IRELAND,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",230.26,IRELAND,2017
74,COPPER AND ARTICLES THEREOF.,3.64,ISRAEL,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",22.28,ISRAEL,2017
74,COPPER AND ARTICLES THEREOF.,27.58,ITALY,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",70.74,ITALY,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.05,JAMAICA,2017
74,COPPER AND ARTICLES THEREOF.,239.73,JAPAN,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",9.45,JAPAN,2017
74,COPPER AND ARTICLES THEREOF.,3.09,JORDAN,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.46,JORDAN,2017
74,COPPER AND ARTICLES THEREOF.,0.02,KAZAKHSTAN,2017
74,COPPER AND ARTICLES THEREOF.,10.48,KENYA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0,KENYA,2017
74,COPPER AND ARTICLES THEREOF.,0.24,KOREA DP RP,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.01,KOREA DP RP,2017
74,COPPER AND ARTICLES THEREOF.,75.82,KOREA RP,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",14.68,KOREA RP,2017
74,COPPER AND ARTICLES THEREOF.,22.67,KUWAIT,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0,KUWAIT,2017
